세종보람점,"세종특별자치시 남세종로 462, 103호",044-866-9299,10:00~22:00
세종부강점,세종특별자치시 부강면 부강4길 4번지 1층,044-275-0199,10:30~21:00
세종새롬점,세종시 새롬중앙로 55,044-867-0626,10:00~22:00
세종소방청점,세종특별자치시 한누리대로 201 (나성동 우빈가온) ,044-863-5551,10:00~22:00
세종아름점,"세종특별자치시 보듬3로 100, 해피리움1차 112호",044-866-4288,10:00~22:00
센텀신세계점,"부산광역시 해운대구 센텀남대로 35, 신세계백화점 4층",051-745-2489,11:00~20:00
소사본점,경기도 부천시 소사구 소사본동 229,032-351-9282,11:00~22:30
소하사거리점,소하동 920-5번지 1층,02-899-9894,11:00~22:30
속초교동점,강원도 속초시 번영로 39,033-635-8959,11:00~21:00
송도8공구점,"인천 연수구 센트럴로 415 (송도동, 힐스테이트 송도 더테라스) 지상1층 156호",032-858-0568,10:00~22:20
송도닥터플러스몰점,인천 연수구 송도동 98-1 송도 닥터플러스몰 121호,032-834-5574,10:00~21:30
송도센트럴파크점,"인천광역시 연수구 센트럴로 160, 1층",032-831-3939,09:30~24:00
송산그린시티점,경기도 화성시 수노을중앙로 126,031-355-3181,
송천점,전라북도 전주시 덕진구 송천동1가  834-1,063-253-9295,11:00~22:00
송추점,경기도 양주시 장흥면 호국로 559-1,031-826-6811,10:30~22:00
송탄점,경기도 평택시 서정동  817-5,031-668-2501,10:00~21:40
송파마천점,서울특별시 송파구 마천로 315,02-402-1144,10:00~21:30
송파방이점,서울특별시 송파구 백제고분로 48길 39,02-420-5985,10:30~22:00
송파풍납점,서울특별시 송파구 풍납동  406-1,02-477-7773,10:30~22:30
수내역점,"경기도 성남시 분당구 백현로 101번길 20 1층 103,104",031-719-5007,10:30~22:30
수성구청점,대구광역시 수성구 달구벌대로 2494 A상가 101호,053-742-4243,11:00~23:00
수성시장점,대구광역시 수성구 들안로 275-1 1층,053-741-3777,10:30~22:00
수성점,대구광역시 수성구 수성1가 73 삼우수성타운상가 A동 103호,053-742-6886,12:00~24:00
수영광안점,부산광역시 수영구 광안동  493-7 BY빌딩 2층,051-987-6543,10:30~23:00
수원경희대점,"경기도 용인시 기흥구 서그내로 15번길 33 , 1층 일부호(서천동)",031-205-5400,10:00~22:00
수원곡반점,경기도 수원시 권선구 곡반정동  564-8,031-222-3474,11:00~21:30
수원권선점,경기도 수원시 권선구 동수원로 242번길 18,031-226-8582,11:00~21:30
수원금곡점,경기도 수원시 권선구 금곡로102번길 38번지 1층,031-292-9864,11:00~21:30
수원대점,"경기도 화성시 봉담읍 와우리 43-3, 2층",031-239-1009,10:00~21:30
수원매탄2호점,경기도 수원시 영통구 매탄로 108번길 10,031-216-7745,10:00~23:00
수원매탄점,경기도 수원시 영통구 매탄동  832-19,031-217-8868,11:00~21:30
수원북문점,경기 수원시 장안구 정조로922번길 1 (영화동 한도체육사) 1층,031-255-3213,11:00 ~ 22:00
수원성균관대점,"경기도 수원시 장안구 서부로 2128, 2층 (율전동)",031-298-8305,10:00~23:00
수원세류점,경기도 수원시 권선구 세지로 99 1층,031-222-9759,10:00~21:30
수원아주대점,"경기도 수원시 팔달구 아주로 47, 2층 (우만동)",031-216-1007,11:00~21:30
수원역점,경기도 수원시 팔달구 매산로 1가 47-4 (매산로 15 (매산로 1가)),070-7796-3830,11:00~23:00
수원오목천점,"경기도 수원시 권선구 삼천병마로 1566번길 26, 1층",031-295-4457,11:00~22:00
수원정자점,경기도 수원시 장안구 정자동   877-4 2층,031-268-1231,10:30~22:30
수원조원점,경기도 수원시 장안구 조원동  898-2,031-207-2255,10:30~22:25
수원천천점,경기도 수원시 장안구 만석로19번길 35,031-271-5225,10:30~22:00
수원탑동점,경기도 수원시 권선구 금호로 222,031-297-3690,10:00~21:45
수유역점,서울특별시 강북구 도봉로87길 7,02-992-5050,10:30~22:30
수정점,부산광역시 동구 수정동 194,051-441-7582,09:30~22:30
수지구청역점,"경기도 용인시 수지구 수지로296번길 51-9, 102호 (풍덕천동 1080-13, 다모아빌딩)",031-263-7111,11:00~21:00
수지동천점,경기도 용인시 수지구 손곡로 100,031-265-8866,10:30~21:30
수지상현점,경기도 용인시 수지구 상현동  257-22 142호,031-266-4959,11:00~22:00
수진역점,경기도 성남시 중원구 광명로 119번지 1층 (성남동),031-752-7773,11:00~22:00
수택3점,경기도 구리시 체육관로 80번길 28,031-563-1230,11:00~23:00
숙명여대점,서울특별시 용산구 청파동 2가 64-15,02-719-0812,10:30~21:30
순천대점,전라남도 순천시 중앙로 242-1,061-754-9282,10:00~21:00
순천신대점,"전라남도 순천시 해룡면 신대리 2005 (해룡면 향매로 124, 1층)",061-811-3004,11:00~21:00
순천역점,전라남도 순천시 팔마로 124-1 (조곡동 159-4),061-744-9222,09:30~22:00
순천연향점,"전라남도 순천시 조례동  1719-14(이수로 293), 1층",061-726-3600,10:30~20:50
순천오천점,전라남도 순천시 오천3길 36 1층,061-725-6000,10:00~21:30
순천왕지점,전라남도 순천시 왕궁중앙길 2,061-725-4141,10:00~22:00
순천용당점,전라남도 순천시 삼산로 61 1층,061-755-8228,11:00~21:30
숭실대입구역점,서울특별시 동작구 상도로 366,02-3280-5885,10:30~21:30
스타필드안성점,경기도 안성시 공도읍 진사리 354 스타필드 3층,031-8092-1838,
시지고산점,대구광역시 수성구 시지동  316-3,053-792-0222,10:00~23:00
시흥거모점,"경기도 시흥시 거모동  1761-16(군자로 519), 102동 101,102호",031-493-7700,10:30~21:55
시흥배곧1호점,"경기도 시흥시 서울대학로278번길 43-7, 117호",031-497-3399,10:30~22:00
시흥신천점,경기도 시흥시 신천3길 47,031-313-9292,11:00~22:00
시흥은계점,경기도 시흥시 은행동  646-5,031-315-0061,09:00~21:30
시흥은행점,"경기도 시흥시 은행로155번길 11,한별프라자 101호",031-311-3567,11:00~22:30
시흥장현점,경기 시흥시 장현동 406-2 ,031-317-8806,10:00 ~ 22:00
시흥휴게소점,경기도 시흥시 조남동  산 15-10,070-4229-3255,07:00~21:00
식사점,경기도 고양시 일산동구 위시티2로 11번길 1층,031-963-7277,11:00~23:00
신가신창점,광주광역시 광산구 신창동  1250-5,062-956-9282,10:30~22:00
신강촌점,강원도 춘천시 남산면 강촌로 82,033-264-5885,11:00~22:00
신경남정보대점,부산광역시 사상구 가야대로366번길 65 (주례동 80-65),051-312-9191,11:00~19:30
신경북대점,대구광역시 북구 산격3동  1393-25번지 2층,053-944-5582,10:00~22:00
신계산본점,인천광역시 계양구 계산새로 93번지 102호,032-556-8088,11:00~22:30
신고잔점,"경기도 안산시 단원구 당곡1로 27, 동산빌딩 103호 (고잔동 672-6번지)",031-475-9245,12:00~21:45
신광안1호점,부산광역시 수영구 호암로 18-2,051-757-9282,11:00~22:30
신광양중마점,전라남도 광양시 구마4길 24,061-791-3692,11:00~22:00
신광주운암점,광주광역시 북구 황계로55번길 8번지 201호,062-515-8292,11:00~21:00
신광주조선대점,광주광역시 동구 지산동  500번지 2층,062-226-1289,10:00~21:30
신구대점,경기도 성남시 중원구 금광2동 2685번지 (010-5304-9444),031-734-5421,09:00~18:00
신군산대점,"전라북도 군산시 미제2길 19, 2동 201호 (미룡동 868-2번지)",063-465-9280,10:00~21:30
신금오공대점,경상북도 구미시 대학로 52-2번지 3동 1층,054-476-9958,10:30~22:00
신금호역점,서울특별시 성동구 금호동1가  119 1층,02-2296-8982,10:00~21:30
신나사렛대점,"충청남도 천안시 서북구 쌍용동  1544번지 (월봉로 83, 201 (쌍용동))",041-578-9902,11:00~22:00
신남천점,"부산광역시 수영구 수영로464번길 21 (남천동 31-27, 1층)",051-900-7786,11:00~22:30
신남해점,경상남도 남해군 남해읍 북변리 160-7,055-864-2040,11:00~22:00
신다대2호점,부산광역시 사하구 다대낙조1길 5,051-263-0055,11:00~21:30
신당감점,부산광역시 부산진구 당감로 53-2번지,051-894-8886,11:00~22:00
신당진합덕점,충청남도 당진시 합덕읍 합우로 134-1 (운산리 266-3),041-363-9288,10:00~22:00
신대구강남약국점,대구광역시 동구 신암동  1196-28,053-944-0606,11:00~23:00
신대구경일대점,경상북도 경산시 하양읍 부호리 274,053-816-4242,10:30~22:00
신대구용산점,"대구광역시 달서구 용산로 230, 102,103호 (용산동 932-6)",053-564-4243,10:30~21:00
신대구중앙로점,대구광역시 중구 중앙대로 389,053-422-4243,10:30~22:30
신대구화원점,대구광역시 달성군 화원읍 비슬로 2583,053-643-1212,10:30~22:30
신대방삼거리역점,"서울특별시 동작구 보라매로 113, 2층",02-812-6469,10:30~22:30
신대부적점,경상북도 경산시 압량면 압독2로1길 38,053-817-7989,10:00~22:00
신대전관저점,"대전광역시 서구 관저동  1351번지 (관저동로 71, 1층 (관저동))",042-544-8808,10:30~22:30
신대전노은동점,"대전광역시 유성구 노은로 144 노은타운 116호 (지족동) , (유성구 지족동 905-4, 노은",042-825-9477,10:40~20:50
신도림테크노마트점,"서울특별시 구로구 새말로 97, 신도림테크노마트 10층13호",02-2111-8200,10:30~20:40
신롯데시네마점,경상북도 포항시 북구 대흥동 563-3 롯데시네마 1층,054-232-4279,11:30~22:30
신림역점,"서울특별시 관악구 남부순환로 1599-3, 2층",02-889-3888,11:00~22:30
신마전점,"인천광역시 서구 완정로 39, 정우프라자 (마전동 621-3)",032-561-5953,12:00~22:00
신만덕점,부산광역시 북구 만덕동  269-3,051-987-9292,10:30~24:30
신만천점,강원도 춘천시 동면 장학리 802-1,033-241-7992,10:00~22:00
신목동점,서울특별시 양천구 목1동 405-74번지 영보빌딩 104호,02-2062-8292,11:00~22:00
신무안읍점,전라남도 무안군 무안읍 불무로 38-3,061-454-2700,11:00~21:30
신문산당동점,경기도 파주시 문산읍 당동리 888-5번지,031-952-4100,11:10~21:10
신배재대점,"대전광역시 서구 도마동  50-6, 2층",042-538-2225,10:30~21:30
신백양점,부산광역시 사상구 백양대로 502,051-311-4774,10:30~23:00
신백운역점,인천광역시 부평구 부평동  274-51,032-236-1006,11:00~21:30
신보건대점,"경상남도 진주시 창렬로 114, 2층 (상봉동 1091-27)",055-741-8878,11:30~22:30
신봉덕점,"대구광역시 남구 효성로 52, 1층",053-475-5666,10:30~23:00
신부경대점,부산 남구 용소로21번길 62 (대연동) 1층,051-612-9220,10:30~23:30
신부민점,부산광역시 서구 구덕로 220(한웅캠퍼스 102호),051-242-8899,11:00~21:00
신부산교대점,부산광역시 연제구 교대로 7(거제동1층),051-506-9192,10:30~21:00
신부산역점,"부산광역시 동구 중앙대로 207, 2층(초량동)",051-442-2347,09:30~22:30
신부천송내역점,경기도 부천시 소사구 송내동  709-3,032-655-0223,11:00~21:40
신부평구청점,인천광역시 부평구 부평동  884-9,032-504-2244,11:00~20:40
신산정점,전라남도 목포시 청호로 107 1층,061-278-3568,11:00~22:00
신삼산점,인천광역시 부평구 삼산동 462-3,032-507-9982,11:00~21:20
신삼산현대점,울산광역시 남구 삼산동 1540-16,052-257-8242,11:00~21:00
신삼화점,제주특별자치도 제주시 화삼북로2길 ,064-755-9292,11:30~20:00
신상동점,전라남도 목포시 옥암로 118 (옥암동),061-281-5790,11:00~22:30
신상산효자점,전라북도 전주시 완산구 효자동1가  652번지,063-222-4945,11:00~22:30
신상인점,"대구광역시 달서구 월곡로 261-1, 2층 (상인동 1401-1)",053-635-1989,11:00~22:30
신서경대점,서울특별시 성북구 정릉동  227-178,02-910-8892,10:00~21:30
신서귀포점,제주특별자치도 서귀포시 대청로 39 (강정동) 2층,064-732-8299,11:00~20:00
신서대신점,부산광역시 서구 구덕로321번길 10,051-244-3232,11:00~24:00
신서동점,부산광역시 금정구 서동로 158-2,051-523-5550,11:00~22:00
신서울등촌점,서울특별시 양천구 목동중앙북로7길 20,02-2652-6842,10:30~22:00
신설동역점,서울특별시 동대문구 왕산로 11-1,02-926-9282,10:00~23:00
신성신여대점,"서울특별시 성북구 동소문로 22길 30, 2층",02-929-2582,10:30~22:30
신송도글로벌캠퍼스점,인천광역시 연수구 송도동  190-2 글로벌캠퍼스 상가 203동 103호 (송도문화로28번길 28),032-814-8488,11:00~21:00
신송우점,경기도 포천시 소흘읍 솔모루로 30,031-544-8592,11:00~21:30
신수암홈플러스점,울산광역시 남구 수암로 143 (야음동),052-267-9888,10:00~21:30
신수완점,광주광역시 광산구 풍영로 200번길 63,062-959-3392,10:30~21:30
신순천금당점,전라남도 순천시 하대석길 41,061-726-4959,10:30~22:30
신순천중앙점,전라남도 순천시 중앙로 110-2,061-752-1515,11:30~22:00
신순천호수공원점,"전라남도 순천시 왕지2길 19-5번지(왕지동,2층)",061-725-4292,10:00~22:00
신시흥능곡점,경기도 시흥시 능곡동 782번지 신안인스빌(12블럭)상가 101호,031-317-9251,10:30~22:30
신신포점,인천광역시 중구 신포동 62-1,032-765-5050,11:00~21:50
신아산장재점,"충청남도 아산시 배방읍 용연로 84-27, 101호 (장재리 1524)",041-546-9788,11:00~22:00
신아산탕정점,충청남도 아산시 탕정면 명암리 922-2,041-544-4249,10:00~22:00
신안산중앙역점,"경기도 안산시 단원구 고잔2길 38, 중앙상가",031-411-4561,10:30~22:00
신안심점,대구광역시 동구 율하동 921-6번지,053-962-3033,12:00~24:00
신안지랑역점,대구광역시 남구 대명로 144-1 (대명동 909-3),053-629-6200,11:00~22:00
신야탑1호점,"경기도 성남시 분당구 야탑동  272-4번지 성산빌딩 1층 (벌말로 40번길 3, 1층)",031-709-5353,10:00~21:40
신영대병원점,대구광역시 남구 대명로 282,053-657-4242,10:30~22:00
신영주가흥점,경상북도 영주시 대동로 36(가흥동),054-635-9001,10:00~22:00
신영주중앙점,경상북도 영주시 구성로 345,054-634-9002,10:00~22:00
신영통점,"경기도 수원시 영통구 영통로 136, 센트럴타워 107,108호 (망포동 386)",031-206-0456,11:00~21:30
신와수리점,강원도 철원군 서면 와수리 1147,033-458-9191,11:30~19:30
신용호자이점,"부산광역시 남구 신선로 566, GS하이츠자이 상가 401동 149호 (용호동 197)",051-621-9402,11:00~22:30
신우동점,부산광역시 해운대구 우동1로 79 (우동 388-8),051-747-9296,11:00~22:00
신우두점,강원도 춘천시 우두동  1052-14,033-253-9288,11:00~22:00
신우정점,울산광역시 중구 우정동  380-17,052-246-5244,11:00~21:00
신운남하남,"광주광역시 광산구 사암로340번안길 6, 106호",062-959-1289,11:00~22:00
신울진점,경상북도 울진군 울진읍 연호로 12,054-781-9288,11:00~21:00
신원마을점,"경기도 고양시 덕양구 신원로 36, 1층",02-371-3202,11:00~22:00
신원주단계점,강원도 원주시 단계동  872-3,033-742-8292,11:00~23:00
신월점,서울특별시 양천구 신월1동 93-4,02-2698-0117,11:00~23:00
신익산모현점,"전라북도 익산시 고현로 96, 1층 (모현동1가 274-4)",063-851-4898,10:30~22:00
신인천송도점,인천광역시 연수구 송도동  3-1번지 밀레니엄상가 124호,032-858-7595,11:00~22:30
신전남화순점,전라남도 화순군 화순읍 광덕로 193-1 (만연리 242-8),061-375-8592,10:00~22:00
신전주대점,"전라북도 전주시 완산구 서원로 8, 202호 (효자동3가 1724-2)",063-225-3600,11:00~22:00
신정네거리역점,서울특별시 양천구 신정동  1190-6,02-2065-7779,10:00~01:00
신정하점,경상북도 안동시 정하동 299-1,054-856-5577,12:00~22:00
신진주교대점,"경상남도 진주시 신안동  447-6, 가산빌딩2층",055-746-3457,11:00~21:20
신진주상대점,경상남도 진주시 상대2동 303-67,055-757-0088,12:00~21:00
신창신대점,경상남도 창원시 마산회원구 구암남10길 40 화성빌딩 2층,055-263-3106,10:40~21:30
신창원대점,"경상남도 창원시 의창구 사림동  55-13 (퇴촌로25번길 6-21, 1층(사림동))",055-286-3231,10:30~21:00
신창원도계점,경상남도 창원시 의창구 도계로 63,055-237-1425,10:30~22:30
신천곡점,강원도 동해시 천곡동 1061번지 골든타워 106호,033-531-8999,11:00~21:30
신천안성거점,충청남도 천안시 서북구 성거읍  성거길 94번지,041-565-9277,10:00~22:30
신천안쌍용3동점,"충청남도 천안시 서북구 쌍용8길 2, 101호 (쌍용동 2004번지 101호)",041-575-9588,10:00~22:00
신철원점,강원도 철원군 갈말읍  삼부연로 7번길 6 2층,033-452-7737,10:30~21:30
신청라1호점,인천광역시 서구 연희동  798-3,032-561-1447,11:00~22:00
신청주산남점,충청북도 청주시 서원구 산남동  654번지,043-283-7754,11:00~21:30
신촌점,서울특별시 서대문구 명물길 16 (창천동 13-28),02-313-7733,10:00~22:00
신카톨릭대점,부산광역시 금정구 오륜대로 41 (부곡동 17-18),051-516-9192,10:30~21:00
신탄진점,대전광역시 대덕구 신탄진로 809-1 (신탄진동 145-10),042-931-3331,11:00~21:00
신평릉부곡점,강원도 동해시 발한로 65,033-534-2117,11:00~21:00
신포항오천점,경상북도 포항시 남구 오천읍 세계리 857-12 (오천읍 세계길 41),054-291-0028,10:30~21:00
신풍역점,서울특별시 영등포구 신길로 119 한화꿈에그린상가 112-114,02-834-3455,10:00~21:30
신하안점,경기도 광명시 오리로 801,02-899-9233,11:00~23:00
신학익동점,인천광역시 남구 학익동  697-6,032-861-7272,11:00~23:00
신한밭대점,대전광역시 유성구 덕명동  597-18,042-826-5020,10:50~20:00
신혜천대점,대전광역시 서구 복수동  605번지 101호,042-586-0292,11:00~20:30
신화명롯데점,"부산광역시 북구 금곡대로303번길 35, 104(화명동, 1층 해경타워빌딩) (화명동 2272-2)",051-365-1566,10:00~23:00
신화천점,강원도 화천군 화천읍 하리 43-72,033-442-7755,11:00~20:30
신효자점,강원도 춘천시 효자동  632-7,033-256-7992,10:00~24:00
신후평동점,강원도 춘천시 후석로 307호,033-241-1212,18:00~23:00
쌍문세라믹점,"서울특별시 도봉구 쌍문동  19-15, 2층",02-902-6633,
쌍문역점,서울특별시 도봉구 도봉로 496,02-900-0071,10:30~23:00
아산득산점,충청남도 아산시 득산동 391-2,041-531-9298,10:00~22:00
아산배방점,충청남도 아산시 배방읍 북수리 958,041-546-9288,11:30~21:00
아산순천향대점,"충청남도 아산시 신창면 순천향로 14,2층",041-542-4626,10:00~22:00
아산용화점,충청남도 아산시 어의정로 46 상가 1층,041-547-9277,10:30~22:30
아산음봉레이크시티점,충남 아산시 음봉면 음봉로 515-18 (동암리) 1층 102호,041-548-9288,10:00~23:00
아산퍼스트빌리지점,"충청남도 아산시 둔포면 해위안길 127, 4층",041-536-0792,10:30~20:00
아산풍기점,충청남도 아산시 풍기동   514,041-531-9282,11:00~22:00
아산호서대점,충청남도 아산시 배방읍 세출리 227-3,041-542-9111,11:00~20:00
아차산역점,"서울특별시 광진구 천호대로 655, 2층",02-453-7780,11:00~22:00
안동대점,경상북도 안동시 경동로 1375 안동대학교 복지관 1층,054-820-6727,10:30~18:00
안동삼산점,경상북도 안동시 서동문로 174-8,054-855-8978,11:00~22:00
안동옥동점,경상북도 안동시 경북대로 423,054-859-8977,11:00~22:00
안면터미널점,충청남도 태안군 안면읍 장터로  129,041-673-8895,10:00~21:00
안산반월점,"경기도 안산시 상록구 건건로 123,1층",031-438-7799,10:30~22:00
안산본오점,경기도 안산시 상록구 샘골로 187,031-408-1569,11:00~21:30
안산선부점,"경기도 안산시 단원구 선부광장1로 30, 103호 (선부동 1070-15)",031-414-5557,11:00~22:40
안산신길점,경기도 안산시 단원구 신길동  1616,031-494-9295,10:30~21:50
안산원곡점,경기도 안산시 단원구 화랑로 107,031-402-1577,10:00~21:30
안산일동점,경기 안산시 상록구 안산대학로 110 (일동) 1층,031-407-2204,
안산초지점,경기도 안산시 단원구 초지동  732번지 (광덕1로 56 (초지동)),031-402-2037,10:30~22:30
안산한대역점,경기도 안산시 상록구 광덕1로 380,031-416-7889,10:30~22:50
안성1점,경기도 안성시 대천동 66번지 (안성맞춤대로 1074 (대천동)),031-674-9245,10:30~20:30
안성공도점,경기도 안성시 공도읍 공도4로 817-2 1층,031-651-9070,10:00~22:00
안성중앙대점,경기 안성시 대덕면 대학 3길 31 ,031-677-9245,11:00~23:00
안성진사리점,경기도 안성시 공도읍 진사리 20-19,031-618-9991,
안성한경대점,"경기도 안성시 석정동  266-6 ,1층",031-674-1212,10:30~20:30
안양1번가점,경기도 안양시 만안구 안양로304번길 4(안양동),031-464-3338,10:40~21:35
안양관악역점,경기 안양시 만안구 안양로 495 (석수동) ,031-471-6114,10:30 ~ 22:00
안양석수점,"경기도 안양시 만안구 충훈로 83, 1층",031-471-6070,10:00~22:00
안양연성대점,경기도 안양시 만안구 안양3동 958-4,031-8091-5050,10:00~22:00
안양평촌학원가점,경기도 안양시 동안구 평촌동  901 1층,031-381-1270,10:00~22:20
안양호계점,경기도 안양시 동안구 호계동 949-17 1층,031-456-4545,10:00 ~ 21:00
암사역점,서울특별시 강동구 올림픽로 766,02-6406-2554,10:30~22:00
야당역점,"경기도 파주시 경의로 1080, 명동프라자 104호 (야당동 1070)",031-943-8080,10:30~22:30
양구읍점,강원도 양구군 양구읍 양록길 71,033-482-9282,10:00~21:00
양산남부시장점,"경상남도 양산시 북안남4길 7-37, 1층",055-363-4777,10:30~22:40
양산물금역점,"경상남도 양산시 물금읍 물금로 20,1층",055-381-1818,11:00~21:30
양산물금점,경상남도 양산시 물금읍 범어리 682-3,055-388-5590,11:00~22:30
양산범어점,경상남도 양산시 물금읍 범어로 62,055-382-2200,10:30~22:00
양산북정동점,경남 양산시 북정로 19 (북정동) 101호,055-387-7772,11:00~22:30
양산사송점,경남 양산시 동면 내송내안2길 35 (내송리) 1층,055-785-1212,11:00~21:30
양산서창점,경상남도 양산시 삼호2길 50,055-365-1088,10:00~22:00
양산석계점,경상남도 양산시 상북면 반회서6길 2 1층,055-374-0401,11:00~23:00
양산석산점,경상남도 양산시 동면 금오13길 4,055-382-7272,10:30~22:30
양산에덴밸리점,"경상남도 양산시 어실로 1206,2층",055-379-8054,10:00~22:00
양산중부점,경상남도 양산시 양산역1길 12 2층,055-372-2201,10:30~23:00
양산증산이마트점,경상남도 양산시 물금읍 야리로 45,055-367-8498,11:00~21:00
양산증산점,경상남도 양산시 물금읍 야리로 112,055-366-6777,11:00~22:00
양산통도사점,경상남도 양산시 하북면 신평7길 6,055-383-0335,11:00~22:30
양산평산이마트점,경상남도 양산시 평산로 33 유토피아 빌딩 1층,055-367-9284,10:00~21:50
양정대학로점,부산광역시 부산진구 양정로 11번길5 1층,051-867-7799,11:00~22:30
양정점,울산광역시 북구 염포로 581,052-288-9277,10:30~22:00
양주광적점,경기도 양주시 광적면 가래비12길 11-15,031-864-5353,10:00~21:00
양주남면신산점,"경기도 양주시 남면 개나리11길 7, 1층",031-857-5578,11:00~22:00
양주덕계점,경기도 양주시 평화로 1440,031-857-8322,11:00~22:00
양주백석점,"경기도 양주시 백석읍 호명로 84, 1층",031-873-0330,11:00~22:30
양주옥정중앙점,"경기도 양주시 옥정로 196,1층",031-862-7750,11:00~22:00
양천구청점,서울특별시 양천구 목동서로 377,02-2644-2426,10:00~22:00
양천향교역점,"서울특별시 강서구 강서로 447, 1층",02-3665-2662,11:00~22:30
양평역점,경기도 양평군 양평읍 양평시장길 32,031-775-5900,10:00~22:00
언양동문점,울산광역시 울주군 삼남면 교동리 1678-3 동문굿모닝힐 301동 211호,052-263-2777,11:00~22:00
엄궁롯데점,부산광역시 사상구 엄궁북로 40 101호,051-311-8281,11:00~22:00
여수미평점,"전라남도 여수시 대학로 31,2층",061-655-3111,10:00~21:00
여수엑스포점,전라남도 여수시 박람회길 ,061-666-9555,11:00~22:00
여수웅천점,전라남도 여수시 웅천동  1675-2,061-682-4285,11:00~22:00
여수중앙점,전라남도 여수시 중앙동 48,061-641-3739,11:00~22:00
여주가남점,경기 여주시 가남읍 태평로 56 (태평리 가남터미널) ,031-885-0107,10:20~21:30
여주점,경기도 여주시 상동 285-3,031-886-9282,11:00~22:00
여천에코하이츠점,울산광역시 남구 선암동  156-8,052-265-2669,11:00~21:30
여천점,전남 여수시 쌍봉로 29 (학동) 2층,061-683-1123,11:00~21:30
연산과정교차로점,"부산광역시 연제구 반송로 89, 1층 3호",051-791-1977,10:30~22:30
연성점,경기도 시흥시 장곡동 822-4번지 1층,031-404-9291,11:30~22:00
연수동춘점,인천광역시 연수구 동춘동 933-6,032-812-6545,11:00~22:30
연천역점,"경기도 연천군 연천읍 연천역로 7,1층",031-834-1919,10:00~21:00
연희동점,서울 서대문구 연희동 137-10 ,02-336-8489,10:30 ~ 22:30
영광점,전라남도 영광군 영광읍 백학리 21,061-351-0894,11:00~21:00
영남대점,경상북도 경산시 청운로 13-3 1층,053-811-7792,10:00~22:30
영등포구청역점,"서울특별시 영등포구 당산동3가  223-7, 1층",02-2677-7749,10:00 ~ 23:00
영등포문래점,"서울특별시 영등포구 문래로 77,",02-562-2707,10:00~22:00
영산대점,"부산광역시 해운대구 반송순환로 141,2층",051-545-9888,10:30~21:30
영선점,부산광역시 영도구 남항로 49번길 43호,051-412-2088,10:00~22:30
영종넙디점,인천 중구 운서동 2929-3 106호,032-752-0203,11:00~22:30
영진전문대점,대구 북구 복현로 31 (복현동) 1층,053-583-2262,10:00~22:00
영천창신점,경상북도 영천시 언하공단로 87(망정동) 1층,054-338-2333,11:00~21:00
영통1호점,경기도 수원시 영통구 덕영대로 1555번길 13,031-206-8114,11:00~21:40
영통2호점,경기도 수원시 영통구 봉영로 1759번길8-9,031-202-1171,10:20~21:30
영통역점,"경기도 수원시 영통구 봉영로 1590, 118-1호",031-202-5558,10:00~22:30
예산산성점,충청남도 예산군 예산읍 역전로 148,041-332-7389,10:00~22:00
오남양지점,경기도 남양주시 오남읍 진건오남로 812 1층,031-574-7503,11:00~22:00
오류동역남부점,서울특별시 구로구 오류2동 155-10,02-2066-9370,10:00~21:30
오류동역점,"서울특별시 구로구 오류동  55-50, 2층",02-3666-2244,10:00~21:30
오산갈곶점,경기 오산시 오산로 91-12 (갈곶동) 1층 1호,031-376-3988,10:00~23:00
오산공군기지점,경기도 평택시 신장동  298-19 오산레포츠센터 2층,031-669-4377,10:00~21:30
오산대점,"경기도 오산시 청학로 39, 2층",031-378-4545,10:30~21:00
오산세교점,"경기도 오산시 수청로 197, 2층",031-378-7666,11:00~21:30
오산수청점,경기도 오산시 수청동  620-1번지 백현프라자 1층,031-376-9292,11:00~22:00
오산시청점,"경기도 오산시 운암로 19 (중앙상가 , 원동)102호",031-377-6262,11:00~23:00
오송2지구점,충북 청주시 흥덕구 오송읍 봉산리 1080 1층,043-238-2333,11:00~21:00
오이도점,경기도 시흥시 정왕3동 2017-4호,031-433-9282,12:00~22:00
오창2산단점,충청북도 청주시 청원구 오창읍 주성리 578번지 103호 (2산단로 134),043-211-0170,11:00~21:30
오창과학단지점,충청북도 청주시 청원구 오창읍 각리 652-2,043-215-0011,10:00~21:00
오태북삼점,경상북도 칠곡군 북삼읍 금오대로8길 6-2 (북삼읍 인평리 1088-2번지),054-972-5582,10:00~21:30
옥동점,울산광역시 남구 법대로95번길 16,052-267-3392,11:00~22:00
옥현주공점,울산광역시 남구 옥현로 46번길 5-2,052-224-7304,10:30~22:00
온양온천점,"충청남도 아산시 온궁로 27, 2층",041-533-9280,10:00~22:00
온천장점,부산광역시 동래구 온천장로119번가길 7,051-555-1579,10:30~21:30
와동점,"경기도 안산시 단원구 와동 819-15번지 (와동공원로 57-1 (와동,1층))",031-483-1414,11:00~22:50
완도점,전라남도 완도군 완도읍 가용리 1070-1번지 101호,061-554-0050,10:00~21:00
완주봉동점,"전라북도 완주군 봉동읍 과학로 1033,1층",063-263-2010,10:00~22:00
완주상관신리점,전라북도 완주군 상관면 신리 607-2 지큐빌상가 109호,063-231-9949,11:00~21:30
왕십리뉴타운점,"서울특별시 성동구 왕십리로 410, 1동 1층 162호",02-2281-8871,11:00~21:30
왜관점,경상북도 칠곡군 왜관읍 왜관리 230-10,054-972-3038,11:00~21:30
